Date,mortes,mortes_vacinados,casos,hospitalizados,infectados_vacinados,vacinados,hospitalizados_vacinados
2022-01-04,6,3,1457,45,1204,11095212,29
2022-01-05,10,5,1422,38,1146,11104037,30
2022-01-06,8,4,1322,41,1091,11111821,23
2022-01-07,6,3,1769,31,1451,11119644,21
2022-01-08,10,7,2024,45,1643,11120193,32
2022-01-09,8,6,2181,40,1749,11120253,29
2022-01-10,6,3,3517,44,2894,11128589,29
2022-01-11,12,7,2465,61,2034,11137047,41
2022-01-12,9,7,2551,41,2102,11145804,23
2022-01-13,10,7,2878,63,2387,11153453,47
2022-01-14,15,8,4258,55,3534,11157995,40
2022-01-15,11,8,4548,69,3755,11158857,56
2022-01-16,13,8,4558,45,3843,11159110,34
2022-01-17,11,8,6087,75,5180,11167303,44
2022-01-18,14,10,5341,91,4482,11182500,72
2022-01-19,18,11,4873,114,4062,11200728,86
2022-01-20,19,13,6433,87,5399,11220034,64
2022-01-21,21,16,6226,88,5267,11235677,59
2022-01-22,21,11,6132,101,5190,11239272,71
2022-01-23,13,10,6205,103,5249,11239490,72
2022-01-24,26,17,7421,129,6264,11257107,99
